"Edad (años)","Talla (cm)","Grupo sanguíneo","Rh"
19,175,"A","Negativo"
34,170,"A","Positivo"
33,162,"O","Positivo"
23,167,"A","Positivo"
38,172,"O","Positivo"
29,162,"O","Positivo"
32,162,"O","Positivo"
41,159,"A","Positivo"
32,160,"A","Positivo"
26,165,"A","Negativo"
36,156,"A","Positivo"
37,166,"B","Positivo"
30,168,"O","Positivo"
40,158,"O","Positivo"
28,158,"O","Positivo"
34,160,"A","Positivo"
35,161,"A","Positivo"
30,169,"B","Positivo"
25,163,"AB","Positivo"
31,160,"A","Positivo"
27,165,"AB","Positivo"
33,162,"O","Positivo"
33,160,"O","Positivo"
25,162,"B","Positivo"
37,169,"O","Positivo"
37,160,"B","Positivo"
25,164,"A","Negativo"
37,161,"B","Positivo"
23,164,"A","Positivo"
29,162,"O","Positivo"
38,178,"O","Positivo"
29,168,"A","Positivo"
36,172,"O","Positivo"
27,162,"O","Positivo"
29,156,"O","Positivo"
25,151,"O","Positivo"
28,167,"O","Negativo"
34,153,"B","Positivo"
33,161,"O","Negativo"
27,167,"O","Positivo"
38,165,"A","Positivo"
34,170,"A","Negativo"
26,154,"A","Positivo"
25,165,"A","Negativo"
35,162,"O","Positivo"
35,171,"A","Negativo"
32,165,"O","Positivo"
37,159,"A","Positivo"
30,165,"A","Positivo"
29,167,"B","Positivo"
31,164,"O","Positivo"
33,174,"A","Positivo"
25,163,"A","Positivo"
35,158,"A","Positivo"
27,169,"B","Positivo"
36,157,"A","Positivo"
36,168,"O","Negativo"
35,166,"O","Positivo"
23,152,"A","Positivo"
29,166,"O","Positivo"
33,174,"O","Positivo"
27,154,"B","Positivo"
29,159,"O","Positivo"
33,156,"O","Positivo"
30,168,"O","Positivo"
34,156,"A","Positivo"
37,167,"AB","Positivo"
40,152,"A","Positivo"
25,164,"A","Negativo"
27,164,"O","Positivo"
31,165,"O","Positivo"
37,163,"A","Positivo"
34,160,"AB","Positivo"
25,167,"O","Positivo"
39,161,"A","Positivo"
30,160,"A","Positivo"
33,165,"A","Positivo"
25,163,"A","Positivo"
35,154,"A","Positivo"
36,165,"O","Positivo"
42,161,"B","Negativo"
36,169,"A","Positivo"
31,163,"B","Positivo"
34,160,"A","Positivo"
29,167,"B","Positivo"
34,169,"O","Positivo"
40,173,"A","Positivo"
32,166,"A","Positivo"
35,167,"A","Positivo"
30,154,"O","Positivo"
19,162,"O","Positivo"
36,170,"A","Positivo"
26,158,"A","Positivo"
34,158,"O","Positivo"
33,164,"O","Positivo"
40,160,"AB","Positivo"
29,162,"O","Positivo"
31,165,"O","Positivo"
40,164,"B","Positivo"
37,163,"A","Positivo"
31,159,"B","Positivo"
21,170,"B","Positivo"
31,157,"A","Negativo"
37,166,"O","Positivo"
32,150,"A","Positivo"
39,177,"A","Positivo"
30,160,"O","Negativo"
28,166,"O","Positivo"
29,157,"O","Positivo"
29,159,"O","Positivo"
34,165,"B","Positivo"
31,170,"A","Positivo"
33,164,"A","Positivo"
40,165,"B","Positivo"
32,157,"O","Positivo"
35,159,"O","Positivo"
31,163,"O","Positivo"
38,164,"A","Positivo"
33,172,"A","Positivo"
33,167,"A","Positivo"
39,150,"O","Negativo"
34,173,"O","Positivo"
37,160,"A","Positivo"
34,172,"O","Positivo"
28,166,"O","Positivo"
35,156,"A","Negativo"
28,155,"A","Positivo"
33,172,"O","Positivo"
29,161,"A","Positivo"
34,164,"B","Positivo"
27,162,"A","Positivo"
36,168,"B","Positivo"
36,157,"B","Positivo"
35,164,"A","Positivo"
34,154,"O","Negativo"
39,170,"A","Positivo"
28,168,"O","Positivo"
24,169,"O","Negativo"
30,151,"O","Positivo"
23,161,"B","Positivo"
36,160,"A","Positivo"
32,160,"AB","Positivo"
36,160,"O","Positivo"
48,158,"A","Positivo"
28,161,"A","Negativo"
30,163,"O","Positivo"
32,156,"A","Positivo"
31,157,"B","Positivo"
40,172,"O","Positivo"
37,164,"O","Positivo"
26,160,"A","Positivo"
25,163,"A","Positivo"
41,151,"O","Positivo"
33,150,"O","Positivo"
27,150,"O","Positivo"
30,150,"A","Positivo"
32,178,"O","Positivo"
21,179,"O","Negativo"
31,158,"O","Positivo"
32,163,"B","Positivo"
28,169,"A","Positivo"
19,156,"B","Positivo"
33,160,"O","Positivo"
38,160,"AB","Positivo"
40,172,"A","Positivo"
27,160,"A","Positivo"
33,169,"B","Positivo"
31,157,"B","Positivo"
27,160,"B","Positivo"
42,161,"A","Negativo"
31,161,"B","Positivo"
39,160,"A","Positivo"
35,163,"A","Positivo"
23,153,"A","Positivo"
38,160,"A","Positivo"
38,152,"O","Positivo"
33,164,"O","Positivo"
30,164,"A","Positivo"
36,163,"A","Positivo"
27,164,"A","Negativo"
37,164,"O","Positivo"
35,169,"B","Positivo"
27,162,"A","Positivo"
22,155,"O","Negativo"
35,164,"A","Positivo"
37,156,"B","Positivo"
38,166,"O","Negativo"
37,161,"O","Positivo"
45,153,"O","Positivo"
32,161,"A","Positivo"
37,168,"B","Positivo"
35,166,"A","Positivo"
42,157,"A","Positivo"
35,170,"A","Positivo"
34,156,"AB","Positivo"
35,167,"A","Positivo"
30,165,"B","Positivo"
34,165,"AB","Positivo"
37,166,"O","Positivo"
26,158,"A","Positivo"
39,154,"B","Positivo"
32,158,"AB","Positivo"
36,159,"O","Positivo"
32,160,"A","Positivo"
36,160,"A","Positivo"
23,160,"O","Positivo"
34,163,"A","Positivo"
25,169,"O","Positivo"
34,164,"A","Positivo"
32,168,"O","Positivo"
23,168,"A","Positivo"
34,166,"O","Positivo"
33,170,"A","Positivo"
28,162,"O","Positivo"
28,167,"A","Positivo"
37,168,"A","Positivo"
37,171,"O","Positivo"
21,154,"A","Positivo"
39,181,"A","Positivo"
38,172,"A","Positivo"
32,167,"O","Positivo"
38,155,"O","Positivo"
32,163,"O","Positivo"
34,178,"A","Negativo"
35,160,"A","Positivo"
20,157,"A","Negativo"
25,155,"A","Negativo"
20,150,"O","Positivo"
31,166,"A","Positivo"
32,152,"O","Positivo"
33,173,"A","Positivo"
34,173,"A","Positivo"
38,161,"O","Positivo"
24,157,"O","Positivo"
24,167,"O","Positivo"
29,167,"A","Positivo"
26,165,"A","Positivo"
28,162,"B","Positivo"
29,170,"A","Positivo"
42,170,"A","Positivo"
36,167,"A","Positivo"
32,171,"A","Positivo"
29,167,"O","Positivo"
28,150,"O","Positivo"
29,163,"O","Positivo"
35,161,"A","Positivo"
35,158,"O","Negativo"
30,171,"A","Positivo"
26,163,"O","Positivo"
25,162,"O","Positivo"
40,164,"O","Positivo"
32,157,"O","Negativo"
35,159,"O","Negativo"
27,166,"O","Positivo"
28,164,"B","Positivo"
36,150,"A","Negativo"
36,173,"AB","Positivo"
30,150,"O","Positivo"
39,153,"A","Positivo"
28,158,"A","Positivo"
29,164,"O","Positivo"
26,158,"O","Positivo"
34,165,"O","Positivo"
32,174,"A","Positivo"
39,160,"A","Positivo"
36,160,"O","Positivo"
24,164,"A","Positivo"
39,155,"AB","Positivo"
36,170,"O","Positivo"
24,162,"A","Positivo"
35,176,"A","Negativo"
27,165,"O","Positivo"
34,166,"O","Negativo"
30,168,"A","Positivo"
39,170,"AB","Negativo"
37,170,"A","Negativo"
36,166,"A","Positivo"
21,165,"A","Positivo"
33,160,"A","Positivo"
31,165,"A","Positivo"
29,169,"B","Positivo"
30,157,"O","Positivo"
38,162,"B","Positivo"
35,160,"O","Negativo"
33,157,"A","Positivo"
33,156,"O","Positivo"
35,167,"A","Positivo"
39,164,"A","Positivo"
31,159,"O","Positivo"
32,150,"O","Positivo"
37,172,"O","Positivo"
23,155,"O","Positivo"
31,158,"A","Negativo"
35,170,"O","Positivo"
30,162,"O","Positivo"
37,158,"A","Negativo"
26,160,"O","Positivo"
38,162,"O","Positivo"
36,169,"O","Positivo"
27,170,"O","Positivo"
41,158,"A","Positivo"
38,160,"A","Positivo"
31,162,"O","Positivo"
19,160,"O","Positivo"
29,159,"A","Positivo"
39,165,"O","Positivo"
33,163,"A","Positivo"
31,168,"B","Positivo"
33,150,"A","Positivo"
41,154,"O","Positivo"
32,160,"A","Positivo"
37,162,"A","Positivo"
36,172,"O","Positivo"
36,167,"O","Positivo"
36,158,"A","Positivo"
38,165,"A","Positivo"
23,162,"O","Positivo"
38,165,"B","Positivo"
35,168,"O","Positivo"
26,169,"O","Positivo"
34,162,"B","Positivo"
22,170,"A","Positivo"
35,169,"O","Positivo"
34,164,"O","Negativo"
32,164,"B","Positivo"
38,167,"A","Positivo"
28,160,"A","Positivo"
36,164,"O","Positivo"
33,161,"A","Positivo"
35,165,"O","Positivo"
35,155,"B","Positivo"
35,160,"A","Negativo"
19,155,"B","Positivo"
40,170,"B","Positivo"
35,167,"O","Positivo"
38,167,"O","Positivo"
37,158,"A","Positivo"
35,170,"O","Negativo"
31,157,"A","Positivo"
27,162,"O","Positivo"
28,170,"O","Negativo"
32,163,"O","Positivo"
33,161,"A","Negativo"
29,165,"A","Positivo"
40,164,"A","Negativo"
32,166,"O","Positivo"
36,155,"O","Negativo"
39,155,"O","Positivo"
41,165,"O","Positivo"
31,158,"A","Positivo"
29,178,"O","Positivo"
38,167,"O","Positivo"
22,159,"A","Positivo"
28,160,"O","Positivo"
39,156,"O","Positivo"
22,160,"A","Negativo"
33,155,"A","Positivo"
34,160,"A","Positivo"
39,167,"A","Negativo"
31,173,"A","Positivo"
41,160,"O","Positivo"
27,165,"A","Positivo"
32,156,"A","Positivo"
34,157,"A","Positivo"
30,170,"O","Positivo"
32,158,"O","Positivo"
38,159,"A","Negativo"
38,166,"A","Positivo"
39,165,"A","Positivo"
36,180,"O","Positivo"
37,171,"O","Positivo"
38,159,"A","Positivo"
29,166,"O","Positivo"
32,160,"O","Positivo"
35,161,"O","Positivo"
32,161,"A","Positivo"
24,150,"A","Positivo"
46,167,"A","Positivo"
35,170,"O","Positivo"
31,169,"O","Positivo"
43,159,"O","Positivo"
26,168,"A","Positivo"
40,160,"O","Positivo"
35,165,"A","Positivo"
31,151,"A","Positivo"
40,167,"B","Positivo"
28,159,"O","Positivo"
30,154,"B","Positivo"
40,160,"A","Positivo"
41,162,"O","Positivo"
35,166,"A","Negativo"
26,163,"A","Negativo"
24,159,"B","Positivo"
32,160,"O","Positivo"
41,168,"A","Negativo"
30,161.5,"A","Positivo"
41,162,"O","Positivo"
30,166,"A","Positivo"
32,172,"O","Negativo"
30,165,"A","Positivo"
32,181,"O","Negativo"
32,159,"O","Positivo"
26,157,"O","Positivo"
19,170,"A","Positivo"
33,160,"A","Negativo"
21,164,"A","Positivo"
25,162,"AB","Positivo"
37,160,"A","Positivo"
27,167,"O","Positivo"
40,166,"A","Positivo"
27,164,"B","Positivo"
33,165,"A","Positivo"
30,159,"O","Positivo"
25,160,"A","Negativo"
30,164,"O","Positivo"
36,158,"A","Negativo"
34,166,"A","Positivo"
37,156,"O","Positivo"
34,167,"A","Positivo"
24,154,"O","Negativo"
42,162,"O","Positivo"
24,158,"A","Positivo"
38,160,"O","Positivo"
25,162,"O","Positivo"
30,162,"O","Positivo"
34,164,"A","Positivo"
33,166,"O","Positivo"
23,164,"O","Positivo"
38,163,"A","Positivo"
38,160,"A","Positivo"
32,162,"B","Positivo"
27,172,"O","Positivo"
38,165,"O","Positivo"
34,165,"A","Positivo"
31,165,"O","Positivo"
35,157,"O","Positivo"
19,168,"O","Negativo"
39,163,"B","Positivo"
21,164,"A","Positivo"
27,153,"A","Positivo"
33,154,"O","Positivo"
25,150,"A","Positivo"
27,160,"A","Positivo"
41,158,"O","Negativo"
25,170,"B","Positivo"
27,165,"O","Negativo"
18,165,"A","Positivo"
38,173,"O","Positivo"
30,170,"O","Positivo"
33,172,"O","Positivo"
33,156,"O","Positivo"
27,156,"O","Positivo"
41,160,"O","Positivo"
32,162,"A","Positivo"
31,167,"A","Positivo"
25,160,"O","Positivo"
37,166,"O","Positivo"
36,164,"A","Positivo"
35,170,"B","Positivo"
26,172,"AB","Positivo"
29,165,"O","Positivo"
33,158,"A","Positivo"
24,160,"A","Positivo"
32,156,"A","Positivo"
29,176,"A","Positivo"
18,166,"O","Positivo"
28,165,"A","Positivo"
28,165,"A","Positivo"
24,172,"B","Negativo"
31,167,"O","Negativo"
32,160,"B","Positivo"
35,170,"O","Positivo"
29,167,"O","Positivo"
39,165,"B","Positivo"
22,150,"A","Negativo"
30,160,"A","Positivo"
27,160,"AB","Positivo"
41,155,"B","Positivo"
35,155,"A","Positivo"
29,157,"A","Positivo"
34,158,"A","Positivo"
32,168,"O","Negativo"
27,164,"O","Positivo"
31,167,"A","Positivo"
36,157,"O","Positivo"
37,163,"A","Positivo"
21,150,"B","Positivo"
38,155,"A","Positivo"
30,160,"O","Positivo"
35,164,"A","Positivo"
39,170,"B","Positivo"
30,167,"A","Positivo"
33,156,"O","Negativo"
31,160,"O","Positivo"
26,151,"A","Positivo"
33,167,"O","Positivo"
29,160,"A","Positivo"
24,160,"A","Negativo"
39,155,"O","Negativo"
20,161,"O","Positivo"
31,168,"A","Positivo"
41,161,"A","Positivo"
37,163,"A","Positivo"
30,163,"A","Positivo"
40,176,"A","Positivo"
27,156,"A","Positivo"
33,164,"B","Positivo"
30,165,"A","Positivo"
25,165,"A","Positivo"
37,168,"A","Positivo"
33,165,"A","Positivo"
34,165,"A","Positivo"
35,168,"O","Positivo"
40,160,"A","Positivo"
31,167,"A","Positivo"
22,167,"O","Positivo"
37,164,"A","Negativo"
24,165,"A","Positivo"
23,166,"A","Positivo"
32,162,"O","Negativo"
29,157,"O","Positivo"
36,160,"O","Positivo"
38,158,"A","Positivo"
39,152,"A","Positivo"
27,165,"O","Positivo"
41,158,"A","Positivo"
29,167,"O","Positivo"
36,162,"O","Positivo"
26,159,"A","Positivo"
34,169,"A","Positivo"
35,161,"A","Positivo"
39,162,"A","Positivo"
27,161,"O","Positivo"
26,163,"A","Positivo"
37,160,"O","Positivo"
27,174,"A","Positivo"
38,158,"O","Positivo"
40,165,"A","Positivo"
24,162,"O","Negativo"
22,161,"A","Positivo"
38,161,"O","Negativo"
35,169,"O","Positivo"
25,165,"O","Positivo"
36,166,"A","Positivo"
29,160,"A","Positivo"
31,167,"A","Negativo"
32,154,"A","Positivo"
32,153,"A","Positivo"
30,160,"A","Positivo"
20,162,"O","Positivo"
38,174,"A","Positivo"
38,165,"O","Positivo"
30,163,"A","Negativo"
29,155,"O","Positivo"
30,162,"A","Negativo"
39,170,"B","Positivo"
35,160,"A","Positivo"
30,165,"O","Positivo"
24,162,"O","Positivo"
25,170,"O","Negativo"
39,160,"A","Positivo"
32,172,"A","Positivo"
38,167,"O","Positivo"
27,162,"O","Positivo"
18,163,"A","Positivo"
36,166,"O","Positivo"
28,162,"O","Positivo"
33,174,"O","Positivo"
29,172,"A","Positivo"
38,178,"A","Positivo"
42,160,"A","Positivo"
38,166,"O","Positivo"
29,167,"B","Positivo"
39,158,"A","Positivo"
25,156,"O","Negativo"
40,169,"A","Positivo"
32,160,"A","Positivo"
26,164,"O","Negativo"
37,173,"O","Positivo"
33,176,"B","Positivo"
34,165,"A","Positivo"
38,166,"A","Positivo"
34,162,"A","Positivo"
21,160,"A","Positivo"
29,150,"A","Positivo"
28,173,"O","Negativo"
42,163,"O","Positivo"
30,160,"A","Positivo"
33,167,"O","Positivo"
33,164,"O","Positivo"
41,150,"A","Positivo"
29,166,"A","Positivo"
38,165,"O","Positivo"
30,166,"A","Positivo"
30,165,"O","Positivo"
26,157,"O","Positivo"
23,167,"O","Positivo"
38,180,"O","Positivo"
24,162,"A","Positivo"
28,160,"O","Negativo"
34,174,"B","Negativo"
31,170,"O","Positivo"
33,165,"O","Positivo"
22,157,"O","Positivo"
28,168,"A","Negativo"
23,159,"O","Positivo"
27,172,"O","Positivo"
22,156,"O","Positivo"
29,163,"A","Positivo"
41,162,"A","Positivo"
25,165,"O","Positivo"
34,164,"O","Positivo"
27,160,"A","Positivo"
32,169,"O","Positivo"
30,165,"A","Positivo"
40,163,"O","Positivo"
27,150,"A","Positivo"
34,160,"AB","Positivo"
32,165,"O","Positivo"
43,166,"O","Positivo"
31,163,"O","Positivo"
31,165,"A","Positivo"
32,167,"A","Positivo"
29,159,"O","Positivo"
21,161,"A","Positivo"
25,161,"A","Positivo"
42,160,"O","Positivo"
38,152,"O","Positivo"
33,170,"B","Positivo"
23,160,"O","Positivo"
30,164,"O","Positivo"
21,158,"A","Negativo"
34,159,"B","Positivo"
25,158,"O","Negativo"
30,163,"O","Positivo"
35,161,"O","Positivo"
34,163,"A","Positivo"
33,167,"O","Positivo"
31,159,"A","Positivo"
31,158,"A","Positivo"
37,166,"O","Positivo"
35,175,"O","Positivo"
36,156,"A","Positivo"
33,160,"O","Positivo"
30,158,"A","Positivo"
26,160,"B","Positivo"
34,164,"O","Positivo"
36,171,"AB","Negativo"
37,161,"A","Positivo"
32,157,"A","Positivo"
34,160,"A","Positivo"
29,169,"O","Positivo"
34,170,"O","Positivo"
34,160,"B","Positivo"
38,163,"O","Negativo"
28,162,"O","Positivo"
38,163,"O","Positivo"
31,172,"O","Positivo"
20,165,"A","Positivo"
40,170,"B","Positivo"
39,162,"A","Positivo"
18,157,"A","Positivo"
33,168,"O","Positivo"
31,167,"A","Positivo"
35,159,"B","Positivo"
21,165,"A","Positivo"
22,161,"O","Negativo"
29,158,"A","Positivo"
42,176,"O","Positivo"
34,165,"O","Positivo"
29,166,"AB","Positivo"
35,161,"A","Positivo"
33,163,"A","Positivo"
35,170,"O","Positivo"
25,160,"A","Positivo"
27,161,"O","Positivo"
32,170,"A","Positivo"
34,170,"O","Positivo"
34,170,"A","Positivo"
32,160,"O","Negativo"
22,161,"A","Positivo"
39,165,"O","Positivo"
30,165,"O","Positivo"
27,156,"AB","Positivo"
38,161,"A","Positivo"
44,158,"B","Positivo"
37,170,"O","Negativo"
33,150,"A","Positivo"
39,157,"A","Positivo"
30,155,"O","Positivo"
32,170,"O","Positivo"
28,154,"O","Negativo"
25,167,"A","Positivo"
35,162,"A","Positivo"
38,168,"A","Positivo"
39,160,"B","Positivo"
29,153,"A","Positivo"
43,152,"A","Positivo"
34,165,"A","Positivo"
34,164,"O","Negativo"
23,155,"B","Positivo"
22,159,"A","Negativo"
36,155,"O","Positivo"
35,160,"O","Positivo"
30,164,"O","Positivo"
32,160,"A","Positivo"
37,160,"A","Positivo"
26,163,"B","Positivo"
29,157,"A","Positivo"
36,164,"A","Positivo"
34,163,"A","Positivo"
27,153,"B","Positivo"
40,159,"O","Positivo"
36,169,"A","Positivo"
38,167,"O","Positivo"
41,167,"O","Negativo"
33,160,"O","Positivo"
31,150,"O","Negativo"
37,164,"AB","Positivo"
29,159,"A","Positivo"
37,162,"O","Positivo"
33,155,"A","Positivo"
30,160,"AB","Positivo"
30,158,"O","Positivo"
39,162,"A","Positivo"
39,169,"O","Positivo"
32,165,"A","Negativo"
23,155,"A","Positivo"
27,162,"A","Negativo"
33,168,"A","Negativo"
29,166,"O","Positivo"
29,153,"A","Positivo"
38,162,"A","Positivo"
24,161,"A","Positivo"
36,165,"O","Negativo"
36,169,"A","Positivo"
35,168,"O","Positivo"
20,162,"A","Positivo"
30,157,"A","Positivo"
38,160,"A","Positivo"
38,161,"A","Positivo"
19,172,"A","Positivo"
31,185,"A","Positivo"
18,170,"O","Positivo"
36,157,"A","Positivo"
34,171,"A","Positivo"
32,160,"O","Positivo"
36,153,"O","Positivo"
19,150,"A","Positivo"
40,170,"O","Positivo"
39,165,"A","Negativo"
35,168,"A","Positivo"
32,170,"O","Positivo"
33,172,"O","Positivo"
30,161,"A","Positivo"
31,164,"A","Positivo"
38,165,"O","Negativo"
46,164,"A","Positivo"
34,173,"O","Positivo"
33,164,"O","Positivo"
28,166,"O","Positivo"
30,166,"O","Negativo"
39,171,"A","Positivo"
26,165,"A","Positivo"
32,159,"A","Positivo"
37,164,"B","Positivo"
33,170,"O","Positivo"
31,170,"A","Positivo"
30,164,"O","Positivo"
37,166,"O","Positivo"
39,170,"O","Positivo"
36,158,"A","Positivo"
32,158,"O","Positivo"
34,167,"O","Positivo"
27,154,"O","Positivo"
42,165,"B","Positivo"
31,171,"O","Positivo"
36,161,"A","Positivo"
37,162,"O","Positivo"
40,172,"A","Positivo"
35,160,"O","Positivo"
34,165,"O","Positivo"
42,168,"B","Positivo"
23,162,"A","Positivo"
26,162,"O","Positivo"
24,163,"A","Positivo"
33,159,"O","Positivo"
20,168,"B","Positivo"
27,169,"O","Positivo"
23,156,"O","Positivo"
29,150,"O","Positivo"
43,156,"A","Positivo"
26,169,"A","Positivo"
35,158,"O","Positivo"
30,173,"O","Positivo"
41,159,"O","Positivo"
34,160,"O","Positivo"
38,167,"AB","Positivo"
45,168,"O","Positivo"
34,165,"B","Positivo"
33,164,"A","Positivo"
26,165,"O","Positivo"
31,162,"O","Negativo"
34,165,"O","Positivo"
39,153,"A","Positivo"
33,158,"B","Positivo"
31,166,"A","Positivo"
26,165,"O","Positivo"
19,158,"O","Positivo"
25,156,"O","Positivo"
41,156,"A","Positivo"
29,151,"O","Positivo"
31,168,"O","Positivo"
22,150,"O","Positivo"
21,160,"A","Positivo"
33,165,"A","Positivo"
42,164,"O","Positivo"
36,162,"A","Positivo"
34,159,"O","Positivo"
34,158,"A","Positivo"
33,172,"A","Positivo"
42,174,"O","Positivo"
32,164,"O","Positivo"
40,172,"A","Positivo"
24,158,"O","Positivo"
27,159,"A","Positivo"
31,173,"A","Positivo"
41,163,"B","Negativo"
32,161,"O","Positivo"
33,170,"A","Positivo"
28,160,"B","Positivo"
38,160,"A","Negativo"
18,155,"A","Positivo"
37,165,"A","Positivo"
35,173,"O","Positivo"
38,175,"A","Positivo"
44,172,"O","Positivo"
20,150,"O","Positivo"
28,165,"B","Positivo"
34,167,"A","Positivo"
28,154,"O","Positivo"
32,172,"O","Negativo"
35,160,"A","Positivo"
34,158,"A","Positivo"
29,165,"O","Positivo"
31,171,"O","Negativo"
32,170,"A","Positivo"
32,178,"B","Positivo"
35,171,"A","Positivo"
33,180,"O","Positivo"
34,170,"A","Positivo"
27,168,"O","Positivo"
40,161,"A","Positivo"
40,170,"O","Negativo"
36,167,"O","Positivo"
30,165,"A","Positivo"
31,159,"A","Positivo"
31,165,"A","Positivo"
28,163,"A","Positivo"
19,165,"A","Negativo"
32,174,"A","Positivo"
32,165,"O","Positivo"
43,170,"A","Positivo"
35,157,"O","Positivo"
34,157,"O","Negativo"
27,167,"A","Positivo"
33,159,"O","Positivo"
28,161,"O","Positivo"
30,171,"O","Negativo"
30,150,"A","Positivo"
42,165,"O","Positivo"
30,165,"O","Positivo"
28,158,"O","Positivo"
25,164,"A","Positivo"
34,161,"A","Positivo"
30,157,"O","Positivo"
36,180,"A","Positivo"
27,166,"B","Positivo"
36,168,"O","Positivo"
34,152,"O","Positivo"
36,174,"O","Positivo"
33,168,"B","Positivo"
36,160,"A","Positivo"
34,167,"AB","Positivo"
33,163,"A","Positivo"
20,156,"A","Positivo"
24,165,"O","Positivo"
36,154,"A","Positivo"
31,156,"O","Positivo"
31,164,"A","Positivo"
34,157,"O","Positivo"
30,155,"B","Positivo"
32,160,"A","Positivo"
30,162,"O","Positivo"
25,160,"AB","Positivo"
40,162,"A","Negativo"
29,156,"O","Positivo"
33,170,"A","Positivo"
27,168,"A","Positivo"
18,157,"B","Negativo"
29,160,"O","Positivo"
28,165,"O","Positivo"
44,176,"A","Positivo"
40,166,"O","Positivo"
32,167,"A","Positivo"
23,180,"A","Positivo"
29,159,"A","Negativo"
30,165,"A","Positivo"
35,158,"O","Positivo"
25,162,"O","Positivo"
23,160,"A","Positivo"
26,163,"A","Positivo"
36,154,"B","Positivo"
27,172,"O","Positivo"
26,160,"O","Positivo"
31,167,"O","Positivo"
39,163,"A","Negativo"
34,180,"O","Positivo"
19,155,"O","Positivo"
33,160,"A","Positivo"
34,165,"O","Positivo"
35,173,"O","Positivo"
38,160,"A","Positivo"
41,161,"A","Positivo"
22,150,"A","Positivo"
35,167,"O","Positivo"
45,176,"AB","Positivo"
40,171,"O","Positivo"
35,159,"O","Negativo"
29,150,"A","Positivo"
36,159,"A","Positivo"
33,162,"B","Positivo"
35,170,"A","Positivo"
38,168,"A","Negativo"
39,169,"A","Positivo"
32,162,"A","Negativo"
25,170,"O","Positivo"
31,158,"AB","Positivo"
20,167,"A","Positivo"
34,160,"A","Negativo"
19,160,"O","Positivo"
36,155,"O","Positivo"
32,160,"O","Positivo"
31,156,"A","Positivo"
38,165,"O","Positivo"
40,151,"B","Positivo"
27,158,"O","Positivo"
34,168,"B","Positivo"
27,160,"O","Positivo"
28,160,"O","Positivo"
22,153,"B","Negativo"
35,165,"AB","Positivo"
34,177,"O","Positivo"
31,167,"A","Positivo"
26,160,"A","Positivo"
28,165,"B","Positivo"
23,152,"A","Positivo"
38,155,"A","Positivo"
32,167,"O","Negativo"
42,161,"O","Positivo"
26,160,"A","Positivo"
37,167,"A","Negativo"
21,172,"O","Positivo"
34,175,"O","Positivo"
41,167,"O","Positivo"
33,159,"A","Positivo"
31,166,"A","Positivo"
28,153,"O","Positivo"
31,160,"A","Positivo"
28,155,"O","Positivo"
35,156,"O","Positivo"
36,169,"A","Positivo"
29,158,"O","Positivo"
47,163,"A","Positivo"
30,168,"O","Positivo"
31,157,"O","Negativo"
38,165,"A","Positivo"
24,156,"O","Positivo"
33,155,"B","Positivo"
19,171,"B","Positivo"
35,166,"A","Negativo"
45,159,"A","Positivo"
39,171,"B","Positivo"
33,166,"O","Positivo"
27,161,"AB","Positivo"
34,152,"B","Positivo"
20,159,"O","Positivo"
37,170,"A","Positivo"
37,159,"A","Positivo"
25,154,"B","Positivo"
28,161,"O","Positivo"
31,165,"A","Negativo"
25,169,"O","Positivo"
37,171,"O","Negativo"
37,167,"O","Positivo"
33,163,"B","Positivo"
40,169,"A","Positivo"
40,158,"B","Positivo"
33,160,"O","Positivo"
37,163,"A","Positivo"
